"","cluster","Mean.of.log.A","Mean.of.log.B","Mean.of.log.C","Mean.of.log.D","Mean.of.log.E","Mean.of.log.F","isClusterMember","maxMembership","membership.of.cluster.1","membership.of.cluster.2","membership.of.cluster.3","membership.of.cluster.4","membership.of.cluster.5"
"P36897",3,-0.211443613343226,0.115430251377019,1.43078936749908,-1.15777256271464,-0.965629655331933,0.788626212513703,FALSE,0.21393407492794,0.190718113787581,0.189561681705895,0.21393407492794,0.205206864373077,0.200579265205506
"O14793",2,0.0654903328337101,-0.175819907613706,-1.4347312996522,1.6689002268845,0.176248766569388,-0.300088119021692,FALSE,0.229255653399704,0.207039548457112,0.229255653399704,0.158771225774609,0.210761760911572,0.194171811457004
"Q14185",3,-1.3374175354416,1.4945196599373,0.686994805379783,0.140187536573138,-0.521322350418681,-0.462962116029941,FALSE,0.229737857779367,0.168806567009924,0.198297974445147,0.229737857779367,0.213281646259439,0.189875954506122
"P41226",3,-1.3176446470614,1.67564302962644,0.429428919588472,-0.0877519422441398,-0.25198417629729,-0.447691183612084,FALSE,0.230217163412253,0.180099521565553,0.195979133588422,0.230217163412253,0.186931869243999,0.206772312189773
"A6NKF1",3,-0.910937822075581,1.30387537035278,1.0408497546178,-0.968968906378648,-0.644601070335383,0.179782673819038,FALSE,0.231357844598188,0.186754618579069,0.181675142405402,0.231357844598188,0.182792188444156,0.217420205973185
"Q9BZE4",4,1.03401600210162,-1.13644210351393,-1.14966985981348,1.06657751265733,0.378042704623661,-0.19252425605521,FALSE,0.232688796257287,0.18877010999003,0.189055260605904,0.178755960168346,0.232688796257287,0.210729872978433
"P50548",1,-0.580220645109726,0.0355374670710043,1.25536480681082,-0.978549998683685,-0.888979169517614,1.1568475394292,FALSE,0.244754864417407,0.244754864417407,0.244487458443861,0.168618391108468,0.172491395955798,0.169647890074465
"Q13330",2,-0.274749434913043,-0.0815018144076418,-1.31167641791991,1.27838107616054,1.05710841825613,-0.667561827176071,FALSE,0.247489653414899,0.226170527234254,0.247489653414899,0.158020115466573,0.188171247158627,0.180148456725646
"P30281",5,0.101758322419978,0.294867598740264,-1.67642095457929,1.31561438991732,0.406842243448331,-0.442661599946612,FALSE,0.247983964785486,0.211540017785003,0.19066941173587,0.17249058876069,0.17731601693295,0.247983964785486
"Q96N46",5,-1.16318500179029,1.86817594759056,-0.309748051520526,-0.203063304226747,-0.121330853775289,-0.0708487362777116,FALSE,0.248490769290764,0.231484186807609,0.188041990896576,0.197954934789203,0.134028118215848,0.248490769290764
"O95319",1,0.170279755036247,-0.304715873389365,-1.68901190244721,1.23257314050903,0.702615979693767,-0.111741099402475,FALSE,0.250025806161801,0.250025806161801,0.230041617009704,0.152396154049637,0.170353108398246,0.197183314380612
"Q9UKG9",2,-1.57118190184227,1.46095691792511,0.494786168979988,-0.37678047232752,0.0674719873561251,-0.0752527000914341,FALSE,0.250085533499517,0.235973399533459,0.250085533499517,0.17738909935398,0.158773842616592,0.177778124996452
"P21359",1,-1.04460941013726,1.67922547557188,0.0770913780336682,-0.977473497953398,-0.0819188172751535,0.347684871760261,FALSE,0.250119972484883,0.250119972484883,0.191781481014853,0.186876181052398,0.137860157454456,0.23336220799341
"Q562E7",2,-1.4674429007565,1.11246480092966,1.00655555344523,-0.606972984131735,-0.358805083710142,0.314200614223485,FALSE,0.250131626262304,0.227376833414653,0.250131626262304,0.179736634695001,0.171290786469738,0.171464119158304
"P53004",4,1.2193939361811,-1.73584991750359,0.203106113119171,0.0653997367088718,-0.336261090864534,0.584211222358981,FALSE,0.257660988718558,0.182321717357507,0.18861452418821,0.181027537058944,0.257660988718558,0.190375232676781
"Q9Y6R4",2,-1.60068034487267,1.06646708450444,1.08023544906183,-0.302099225369532,-0.201172016977221,-0.0427509463468507,FALSE,0.262067932990774,0.208552512376804,0.262067932990774,0.181141919958232,0.187744077330056,0.160493557344134
"O75165",3,-0.764625973369199,0.939126462175732,1.45236506581095,-0.620469449773262,-1.01925300418486,0.0128568993406365,FALSE,0.262085669894838,0.144536079302986,0.164796474314264,0.262085669894838,0.236519177073171,0.192062599414742
"O60869",5,1.27062710250365,-0.287719631738727,-1.00287313421298,0.777918947103733,0.459046382379714,-1.2169996660354,FALSE,0.264650160001627,0.1169751096616,0.11519215751516,0.244238252260428,0.258944320561184,0.264650160001627
"P62314",2,-1.23962516230556,0.769914597633762,0.951608403808317,-0.759146283110149,0.960288991259507,-0.68304054728588,FALSE,0.26604305349794,0.212645264006225,0.26604305349794,0.176114151806699,0.186167599282553,0.159029931406583
"O15228",3,1.17155995775444,-0.468297503328438,0.810565890312607,-0.7837988079385,-1.33205032038312,0.602020783583011,FALSE,0.266085192339353,0.125435057481034,0.115712496560865,0.266085192339353,0.235751748943759,0.257015504674989
"Q9NWM8",5,1.25533087670456,-0.749071888474191,-1.31999897370107,-0.502999436288557,0.67745661743776,0.639282804321497,FALSE,0.271485107776156,0.266581459729133,0.165959072472773,0.155158210314749,0.14081614970719,0.271485107776156
"Q8N5I9",2,0.174918217133168,-1.25544626204616,-0.703987052202661,1.59919501031049,0.494570532486652,-0.309250445681484,FALSE,0.274765951978092,0.191792501532837,0.274765951978092,0.141045889823205,0.250555916179815,0.141839740486051
"Q9Y287",1,-0.82534729926011,1.33033474265839,0.402868715480891,-1.37789637921186,-0.199514566215465,0.669554786548156,FALSE,0.2757292583328,0.2757292583328,0.187795919338052,0.177199428123599,0.123238905531741,0.236036488673808
