"Protein","Total.identified.peptides","Total.quantified.peptides","Annotation","C_0_R_1","C_0_R_2","C_0_R_3","C_1_R_1","C_1_R_2","C_1_R_3","C_2_R_1","C_2_R_2","C_2_R_3","C_3_R_1","C_3_R_2","C_3_R_3","C_4_R_1","C_4_R_2","C_4_R_3","C_5_R_1","C_5_R_2","C_5_R_3"
"P55011",19,18,"S12A2_HUMAN Solute carrier family 12 member 2",-0.59731123115382,-0.595683910494712,-0.597782801174941,-0.579577719793699,-0.582827507012052,-0.506084115359356,-0.386604317082746,-0.301852955427885,-0.392660184620854,0.0506402564706855,-0.0237123082234231,0.0278123448442878,0.733079686735699,0.633561874320958,0.633067945686246,0.855233493091372,0.750272987673026,0.862731995565419
"O60341",18,14,"KDM1A_HUMAN Lysine-specific histone demethylase 1A",0.212903677106428,0.0979522846418766,0.137059908523733,0.0289906279388183,-0.00526637997159105,0.0272686287256018,-0.0448636008022118,-0.00011037265971668,-0.0444055023130628,0.0814378774627779,0.0634754243709897,0.0737330456848255,-0.0588965942566208,-0.0278801866571527,-0.0865268426078887,-0.1509482810566,-0.0932988068208825,-0.127571510958198
"Q8WZ42",1307,1302,"TITIN_HUMAN Titin",-1.57460208848666,-1.50394303069802,-1.41417735964193,-1.32338016646734,-1.31860962540369,-1.16153781569267,-0.472262670510313,-0.40958501995578,-0.509311508667518,0.514425334939902,0.235607784414006,0.315641967120854,1.15902874213092,1.26122720127884,1.27448702790431,1.68980216427574,1.49525291674128,1.46343769490243
"Q9UPN3",391,366,"MACF1_HUMAN Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5",-0.455325752393143,-0.44623417915399,-0.457626105096103,-0.235913303329199,-0.284836261989567,-0.248576405459117,-0.238920320752709,-0.286715835113752,-0.340518714870375,0.113932686867444,0.0859329208200472,0.119025082216742,0.364151796128083,0.443266911587478,0.437691673361011,0.497081235438939,0.482267694574503,0.49592452352585
"Q15149",341,282,"PLEC_HUMAN Plectin",-0.243291678945615,-0.235103423552481,-0.245233720172526,-0.157904547111897,-0.144687329544759,-0.0943242557729492,-0.111373503860057,-0.120556931113086,-0.159846494714375,-0.00451776535031206,-0.0437370042578707,-0.0024282952712678,0.195251128077406,0.243946460118872,0.236435429185948,0.299391422163552,0.334668322007754,0.333965708359974
"Q03001",310,285,"DYST_HUMAN Dystonin",-0.107816296944129,-0.10226075857009,-0.108668140929821,-0.0349614456156638,-0.0213523702730825,-0.006525762722666,-0.339735051071031,-0.370102509983032,-0.399268053266428,-0.131684939285211,-0.115065227611479,-0.0640041116368253,0.281097593475628,0.347778130016688,0.308521731965317,0.310564551723286,0.295920665081625,0.327756281169716
"Q09666",306,302,"AHNK_HUMAN Neuroblast differentiation-associated protein AHNAK",0.271704201542199,0.276398551957383,0.336856628039374,0.200491683765198,0.248726420078479,0.24365164547344,0.203243463067021,0.199183193244895,0.269424516701776,-0.0215378402443991,0.0261416732912905,-0.0275534310776453,-0.202029527020371,-0.318951608653407,-0.281713569052333,-0.429247350321306,-0.458970703586727,-0.45290315587183
"Q14204",244,185,"DYHC1_HUMAN Cytoplasmic dynein 1 heavy chain 1",0.258586306531373,0.248855438131004,0.282795719777702,0.0206189488883864,0.018054532375816,-0.109598309975598,0.0186123768381482,0.0836322251317627,0.170566800512392,0.0868753982446134,0.117667849443659,-0.00692842603160532,-0.126082505190037,-0.167997238012318,-0.115291493721982,-0.186675303800099,-0.279254316796661,-0.239201675916801
"P78527",187,180,"PRKDC_HUMAN DNA-dependent protein kinase catalytic subunit",-0.0662847938438363,-0.0636722703267242,-0.028060057491168,-0.0927880044502168,-0.0909622583757501,-0.109696375859382,0.219584106722711,0.229628311737429,0.297603217865677,0.134693139973017,0.176011784004912,0.123455478617846,-0.0322676066700443,-0.0786635039141325,-0.056624874750003,-0.135229878768017,-0.172158558488612,-0.163067050145821
"Q13813",182,147,"SPTN1_HUMAN Spectrin alpha chain, non-erythrocytic 1",-0.216092572886052,-0.20494527875896,-0.192670677814568,-0.120913206748621,-0.113939886890419,-0.0554423540449972,-0.0473131390943896,-0.100340634253947,-0.10581445262494,-0.00514211496103136,0.0089224720854739,0.0397062978766893,0.193707203750428,0.183890932694279,0.174614855758122,0.225376330274589,0.211281422735322,0.220923073182999
"Q8IVF2",179,176,"AHNK2_HUMAN Protein AHNAK2",-0.366248624909955,-0.316211272319491,-0.361287528373055,-0.246056490745241,-0.187568937771346,-0.155915854619381,-0.34834915616805,-0.33566563217334,-0.433281763316029,0.078633715008492,0.0566800497894004,0.115999724503686,0.544613412022248,0.457571741191404,0.453671794795611,0.327133964178844,0.318964254606753,0.440694448515217
"P35579",165,146,"MYH9_HUMAN Myosin-9",0.336237825834611,0.361936049376805,0.433868522069202,-0.0480813869400462,-0.00670101943178274,-0.130401965951017,0.116139236365066,0.259642080679248,0.393658783779154,0.162330429561633,0.253224568410692,-0.0057324649506228,-0.265009209094712,-0.325465550721694,-0.274009048418638,-0.357346762185946,-0.390793344768026,-0.438257367516048
"Q14315",165,149,"FLNC_HUMAN Filamin-C",-0.644113963338908,-0.616779083396778,-0.655015419612604,-0.379858935402438,-0.46080118239423,-0.444078950023283,-0.0897853556740718,-0.119342626725002,-0.151881224034266,0.197021474540317,0.141826337831836,0.168992289842104,0.392912692162071,0.525323221341587,0.477124568954207,0.591679110467467,0.575702281296778,0.559634465450959
"Q8NF91",162,155,"SYNE1_HUMAN Nesprin-1",-0.366091952175904,-0.325863140252859,-0.38680696027849,-0.274511433487765,-0.269116466847831,-0.253457456848666,-0.195167906403335,-0.215276288512461,-0.274621971043108,0.0890606628953647,0.0157255274921247,0.0455909607860176,0.328253758403078,0.358920566551529,0.357850045348215,0.458249427748784,0.439566899660382,0.451707265094085
