"Protein","Total.identified.peptides","Total.quantified.peptides","Annotation","C_0_R_1","C_0_R_2","C_0_R_3","C_1_R_1","C_1_R_2","C_1_R_3","C_2_R_1","C_2_R_2","C_2_R_3","C_3_R_1","C_3_R_2","C_3_R_3","C_4_R_1","C_4_R_2","C_4_R_3","C_5_R_1","C_5_R_2","C_5_R_3","log.ratios.C2.vs.C1","log.ratios.C3.vs.C1","log.ratios.C4.vs.C1","log.ratios.C5.vs.C1","log.ratios.C6.vs.C1","FDR.PolySTest.C2.vs.C1","FDR.PolySTest.C3.vs.C1","FDR.PolySTest.C4.vs.C1","FDR.PolySTest.C5.vs.C1","FDR.PolySTest.C6.vs.C1","Cluster"
"A0A0B4J2D5|P0DPI2",12,12,"GAL3B_HUMAN Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",-0.54283950887733,-0.528950580611908,-0.577672974995646,-0.368582547859202,-0.354156024100335,-0.450877746469731,-0.0117004847536207,-0.00964519895091982,-0.0949693575832941,0.251860673311475,0.161235633427436,0.155561375252624,0.352203965533199,0.317208627230328,0.352413868727855,0.5174712002535,0.466434009993198,0.452615446266401,0.158615582018539,0.511049341065683,0.739373582158806,0.890429841992089,1.02866124033266,0.00283714747885463,9.80132953933049e-09,8.98929167504216e-11,3.76307710451109e-12,3.53248085596233e-13,2
"A0A0U1RRE5",2,2,"NBDY_HUMAN Negative regulator of P-body association",-0.20572936571556,-0.184627727952135,-0.230921319599258,-0.0543309184314106,-0.00234339405430042,-0.134917260956809,0.0802656447104,-0.128661177704699,-0.0997854742508006,0.0717292009020481,0.0150436662352669,0.0957363580277503,0.153190624619598,0.161340318343933,0.072643668375161,0.199013072238685,0.0537678714596727,0.191652263690063,0.143228946608144,0.157699135340618,0.267929212810673,0.336151008201882,0.355237206885125,0.0492664422044728,0.0167679367287559,0.000297741323284056,1.6351864009012e-05,5.56196953486128e-06,2
"A0A0U1RRL7",2,2,"MMPOS_HUMAN Protein MMP24OS",-0.155671718947012,-0.0358946758024464,-0.188623879697334,-0.0748744713149846,-0.00338795732658523,0.0341775180510249,0.103085012047564,0.132430678853325,0.0845595906479377,0.068816385284278,-0.0244548237692986,-0.00627561551397468,0.144531657983914,-0.040709201152817,0.0352142831169428,0.0552721092248576,0.0146314486333472,-0.0552159645247094,0.112035121285416,0.23342185199854,0.139425406815932,0.173075671464944,0.131625955926763,0.0961122809127272,0.000792798342631474,0.0156272871027271,0.00231356447573294,0.00723500124184058,2
"A0AVT1",33,26,"UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6",0.115913972861887,0.0877877573466213,0.16530895608329,0.0461346514299441,0.0421861805262211,-0.0539693496951635,0.0820625521073914,0.0745724040069534,0.133480855791013,-0.00073622192846908,0.0092091010383544,-0.0333301612485361,-0.0235583728655067,-0.10078564044315,-0.107254844824004,-0.0188828437936293,-0.171480628176208,-0.142959262287026,-0.111553068010266,-0.0262982914621468,-0.13128932281015,-0.20020318147482,-0.234111140182887,0.0455869332560382,0.256371199466013,0.00735671581449577,0.000167324990540102,2.44850484567387e-05,3
"A0JNW5",6,5,"UH1BL_HUMAN UHRF1-binding protein 1-like",0.141034160407609,0.256910200257852,0.233821865392308,0.111981648581121,0.163792588587406,0.130210106720157,-0.0333325238889719,-0.040149484554631,-0.0870000697709035,-0.0784289383307358,-0.0050327364550602,-0.228174515622318,-0.109342197258071,-0.0095363421376547,-0.0728565175666297,-0.179953231149165,-0.0882794172747284,0.107839937062971,-0.075260627389695,-0.264082768090758,-0.314467472155294,-0.274500427673375,-0.264052979139564,0.273725682601422,0.00202542205755563,0.00033912773089076,0.000487147531194175,0.000419131730604263,5
"A0PJW6",3,3,"TM223_HUMAN Transmembrane protein 223",-0.149510936718469,-0.0428037089546061,-0.272902013870912,-0.135679232910795,-0.0819022433318174,0.0598058272604426,-0.0698767324094095,-0.0172674394351971,-0.0330499331733852,0.0017545092593772,-0.200789311949035,-0.017630610650154,0.0206896246111722,0.241086413501453,-0.0130900523730735,0.1861234929766,0.231853299242629,0.260887140012548,0.102480336853939,0.115007518175332,0.0828504154013918,0.237967548427846,0.381360197258588,0.316864248260676,0.162976956816118,0.220497564069298,0.00347617341965552,5.93496670343479e-05,1
"A0PK00",5,5,"T120B_HUMAN Transmembrane protein 120B",-0.392712512807782,-0.309727468012757,-0.582003695709881,-0.301303380753178,-0.332618231706434,-0.372025701138303,-0.257096439594267,-0.0455634208087379,-0.321451449286963,0.153939629714823,0.0191255165318709,0.0622220619007503,0.30976127021715,0.482163561816999,0.468991995383205,0.609524758212031,0.449880837187197,0.558698350854981,0.0928321209775017,0.220110788946817,0.506576961559288,0.848453501315925,0.967515874261543,0.157250057114739,0.018537354068643,2.10489429543856e-05,3.29119194802399e-08,3.79208907696872e-09,1
"A1IGU5",5,5,"ARH37_HUMAN Rho guanine nucleotide exchange factor 37",-1.2314271699651,-1.27515846592462,-0.874552921684436,-0.986203870169661,-0.956134106642416,-0.747444045412951,-0.656934827224895,-0.685610895930619,-0.762284232102886,0.306687019129821,-0.0439765101317658,-0.122518634735593,0.844053496505524,0.541225175552421,0.636824244872544,1.70108386782496,0.89114185408565,0.851140404088772,0.230452178449709,0.425436200771919,1.17377681061221,1.80108049150155,2.27483489452451,0.166226793698623,0.0483267082695148,2.86954647515952e-05,1.26244263580427e-07,4.57247450722657e-09,1
"A1L0T0",16,15,"ILVBL_HUMAN Acetolactate synthase-like protein",-0.220422315529825,-0.21161833475934,-0.175602953156109,-0.155889391857555,-0.0807641157539147,-0.0627974613319587,-0.0307959395770748,-0.00406187013547185,-0.0051279238711962,0.000471869134454499,0.0586529125406272,0.0802923022740807,0.0396465072807037,0.123248211506908,0.161905153511936,0.114948381993125,0.183112504206465,0.237278528351845,0.102730878167282,0.189219289953844,0.249020229131479,0.310814491914941,0.380994339332236,0.0483997865401463,0.000503894746434183,2.60262157826187e-05,1.10985511497026e-06,6.22694272947226e-08,2
"A1X283",27,24,"SPD2B_HUMAN SH3 and PX domain-containing protein 2B",0.24970584481347,0.262232954941393,0.305114945161784,0.198885714180008,0.28475293235027,0.223487413392038,0.0901218637394508,0.0791751500866905,0.0752601629392544,-0.199451912654817,-0.138764797749646,-0.196477706819952,-0.280388113196892,-0.267059336814319,-0.247484318510182,-0.144828509261923,-0.159313251931253,-0.162986502289979,-0.036642561664777,-0.19083218938375,-0.450582720713687,-0.537328504479347,-0.428060669466601,0.0595937395937396,2.09380808688463e-05,1.02890527550002e-09,4.90996796583248e-11,3.20550469348067e-10,3
"A2RRP1",33,21,"NBAS_HUMAN Neuroblastoma-amplified sequence",-0.201487761408428,-0.223705559841662,-0.300329977526372,-0.0692763124419903,-0.0412109723451219,-0.1610245939249,-0.0673907505569447,-0.0857028833641677,-0.215148639724328,-0.0137099080053741,-0.0616839376273792,-0.0112813845226039,0.191359475605948,0.20090522693474,0.160092892384148,0.387572013144717,0.353965964388,0.301979005925196,0.151337140021483,0.119093675043674,0.212949356207035,0.425960297900433,0.589680094078125,0.0112804335765652,0.020883470248482,0.000277090296239684,1.01241251364043e-07,1.21981027057969e-09,1
"A3KMH1",6,4,"VWA8_HUMAN von Willebrand factor A domain-containing protein 8",-0.0496420977262421,-0.112399828025186,-0.238265275990408,-0.142111019383036,-0.0794998502472293,-0.0982936332477261,-0.0429291799576081,-0.025016405921291,-0.045656057098081,0.0628908209913872,0.0904443369087082,0.116551492967036,0.107501093821077,0.0368747630274938,0.210740037963519,0.0774905862664973,0.14072137212118,0.153720965198836,0.0268008996212816,0.0955685195882853,0.223397950869656,0.251807698851309,0.25741337510945,0.386568571660732,0.0758949689158704,0.000406889822821864,6.57422263108998e-05,3.23986507119186e-05,2
"A3KN83",11,10,"SBNO1_HUMAN Protein strawberry notch homolog 1",0.266861460443682,0.255388638219563,0.173226476695813,0.106762555921152,0.1485752567009,0.140698924694122,0.0934179621557211,0.198495079357286,0.169962097907545,0.0039760681178466,-0.00762285829714859,-0.0126657553505707,-0.259494721838984,-0.192366886425841,-0.134198113529096,-0.51834721690014,-0.167701576208239,-0.324255185075898,-0.099813279347628,-0.0778671453128353,-0.23726304029631,-0.42717876571766,-0.568593517847778,0.116659849123144,0.166848988115956,0.00258410669501504,7.28303489511741e-06,1.84591396642092e-07,3
"A4D1E9",6,5,"GTPBA_HUMAN GTP-binding protein 10",0.127660728122974,0.109731541961514,0.125845760609402,0.103189815137184,0.134856248236145,0.313178404151387,-0.207196554426443,-0.116637491017627,-0.242803123993415,-0.177089144106551,-0.0775450885609709,-0.0139371852269945,-0.0651468166281609,0.0964850277550464,-0.0361582395177976,-0.0968352175995109,0.0188747758043378,0.0509819014464508,0.0626621456102753,-0.309958400043792,-0.210603149529469,-0.122686019694934,-0.130072190347537,0.211317388052848,0.000365456793089543,0.00437156131005129,0.0318305825086842,0.0172060144130333,5
"A4UGR9",15,14,"XIRP2_HUMAN Xin actin-binding repeat-containing protein 2",-1.2239471720234,-1.24527734998294,-1.11094885183029,-1.32218350874449,-1.36413206132499,-0.888629487396897,-1.00710983183441,-0.633332723468352,-0.990118244511719,0.327778463790879,-0.361704527574012,-0.242881868260538,1.0127478311055,0.840606518090314,0.851872805593191,1.75316965113048,1.20859082981502,1.14750130900358,0.00174277212341756,0.31653752467405,1.10112181393099,2.09513350954188,2.56314505459524,0.100438886955741,0.127314986435504,5.37985300889878e-05,2.32696760625659e-08,1.14449788504507e-09,1
"A5D6W6",3,3,"FITM1_HUMAN Fat storage-inducing transmembrane protein 1",-0.884043125452559,-0.900838798022057,-0.469760819206128,-0.679365678055001,-0.844049867469905,-0.415440161854758,-0.34956769034298,-0.24173376499091,-0.294977270597658,0.292558489286872,0.0957735324255142,0.218328343087918,0.702275441736967,0.806222445956436,0.677187085272988,1.12960988413586,0.877505407153824,0.953556055748506,0.10526234510036,0.456121338916399,0.953767702493683,1.48010923854905,1.73843802990631,0.374708733932035,0.00235084493071,1.67659125607011e-06,4.86919417329943e-09,3.85563290832505e-10,2
"A5D8V6",2,2,"VP37C_HUMAN Vacuolar protein sorting-associated protein 37C",-0.284468755304333,-0.220017519910874,-0.000312802891127451,-0.145240003437996,-0.0903004314315663,-0.0459635885481713,-0.21404254924932,-0.225647343864845,-0.197330120443272,-0.122515294358569,-0.169155506944825,0.0192052532151741,0.140384603057355,0.243126470155245,0.16385510899401,0.422823188889006,0.414448280424412,0.398761387443727,0.0744316848962003,-0.0440736451503675,0.0774445100060382,0.350721753437648,0.58027731162116,0.390047893867132,0.263816757882967,0.180822656363588,3.52670906618592e-05,9.44463879969712e-08,1
"A5PLN9",8,7,"TPC13_HUMAN Trafficking protein particle complex subunit 13",-0.0821839853883182,-0.103500110016222,0.00228389050383935,-0.0629924668443331,-0.045341417010233,-0.0814763276499482,-0.0627870626705312,-0.0702179099692789,-0.0377021745623759,0.0564666219963337,0.0474887939280411,0.0917145073897723,0.119723079527338,0.0616089352695256,0.078517012073272,0.0933021689602712,0.00666698741434705,0.0208489119156349,-0.00213666886793781,0.00423101923283829,0.126356709404949,0.147749743923612,0.101406091063651,0.37049018001399,0.588722727054402,0.00175814404327644,0.000250251928147025,0.00248760029872484,2
"A5YKK6",56,49,"CNOT1_HUMAN CCR4-NOT transcription complex subunit 1",0.11066549577326,0.0825947336469415,0.0619948262071075,0.115449349272041,0.104496593506544,0.0981476325549392,0.0290975315017247,0.0144848303970309,-0.016754514956109,-0.0496284991286291,-0.0401665166016359,-0.0201824485841325,-0.0593876664386352,-0.0431348079231949,-0.0737809798760357,-0.0844609974217939,-0.0731949736716904,-0.0564502031490744,0.0209461732354051,-0.0761424028948875,-0.121744173313902,-0.143852836621725,-0.156453743289956,0.269700128902274,0.00845301303600506,0.000174751243444117,1.6207862948222e-05,4.08070604403106e-06,3
